month,ITO,DTU,Sirifort,Shadipur,Dwarka,IHBAS,R K Puram,Mandir Marg,Punjabi Bagh,IGI Airport,Civil Lines,Anand Vihar,East Arjun Nagar,CRRI Mathura Road,Lodhi Road,Aya Nagar,North Campus,IGI Airport Terminal-3,Burari Crossing,Pusa MD
Jan 2011,31,0,3,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Feb 2011,28,0,28,28,28,28,0,0,0,28,28,0,0,0,0,0,0,0,0,0
Mar 2011,30,0,27,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Apr 2011,30,0,30,30,30,30,9,8,8,30,30,0,0,0,0,0,0,0,0,0
May 2011,31,0,31,31,28,30,25,29,29,31,31,0,0,0,0,0,0,0,0,0
Jun 2011,30,0,29,27,30,28,25,26,26,30,30,0,0,0,0,0,0,0,0,0
Jul 2011,30,0,1,31,31,31,26,26,26,31,31,0,0,0,0,0,0,0,0,0
Aug 2011,24,0,0,31,29,31,1,1,1,31,31,0,0,0,0,0,0,0,0,0
Sep 2011,30,0,0,30,30,21,23,23,23,30,30,0,0,0,0,0,0,0,0,0
Oct 2011,31,0,0,31,31,31,28,28,28,31,31,0,0,0,0,0,0,0,0,0
Nov 2011,30,0,0,30,30,30,2,2,2,30,30,0,0,0,0,0,0,0,0,0
Dec 2011,29,0,0,31,29,30,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Jan 2012,31,0,0,31,31,31,21,21,21,31,31,0,0,0,0,0,0,0,0,0
Feb 2012,29,0,0,27,28,29,24,24,24,29,29,0,0,0,0,0,0,0,0,0
Mar 2012,30,0,0,30,23,31,28,28,28,31,31,0,0,0,0,0,0,0,0,0
Apr 2012,30,0,0,24,25,26,26,25,25,30,30,0,0,0,0,0,0,0,0,0
May 2012,26,0,0,31,27,30,27,25,25,31,31,0,0,0,0,0,0,0,0,0
Jun 2012,0,0,0,30,30,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0
Jul 2012,0,0,0,31,31,26,20,21,21,31,31,8,0,0,0,0,0,0,0,0
Aug 2012,0,0,0,25,31,24,30,31,31,31,31,31,0,0,0,0,0,0,0,0
Sep 2012,9,0,0,21,27,30,24,24,24,30,30,24,0,0,0,0,0,0,0,0
Oct 2012,29,0,0,20,19,29,29,29,29,31,31,29,0,0,0,0,0,0,0,0
Nov 2012,30,0,0,30,20,30,28,28,28,30,30,28,0,0,0,0,0,0,0,0
Dec 2012,31,0,0,31,27,31,30,31,31,31,31,29,0,0,0,0,0,0,0,0
Jan 2013,31,0,0,31,31,31,29,29,29,31,31,27,0,0,0,0,0,0,0,0
Feb 2013,28,0,0,28,28,28,26,26,26,28,28,27,0,0,0,0,0,0,0,0
Mar 2013,31,0,0,31,29,31,11,11,11,31,31,9,0,0,0,0,0,0,0,0
Apr 2013,18,0,0,30,30,30,18,18,18,30,30,18,0,0,0,0,0,0,0,0
May 2013,0,0,0,31,26,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Jun 2013,0,0,0,30,30,29,0,0,0,30,30,0,0,0,0,0,0,0,0,0
Jul 2013,0,0,0,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Aug 2013,30,0,0,31,30,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Sep 2013,30,0,0,29,30,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0
Oct 2013,19,0,0,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Nov 2013,24,0,0,30,30,28,0,0,0,30,30,0,0,0,0,0,0,0,0,0
Dec 2013,1,0,0,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
Jan 2014,0,0,0,31,31,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0
